time (s),voltage (V),,,,,,,
-1.25E-07,-0.00040201,,,,,,,
-1.24E-07,0,,,,,,,
-1.23E-07,-0.00040201,,,,,,,
-1.21E-07,-0.00040201,,,,,,,
-1.20E-07,0,,,,,,,
-1.19E-07,0,,,,,,,
-1.17E-07,-0.00040201,,,,,,,
-1.16E-07,0,,,,,,,
-1.15E-07,-0.00040201,,,,,,,
-1.14E-07,-0.00040201,,,,,,,
-1.13E-07,-0.00040201,,,,,,,
-1.11E-07,-0.00040201,,,,,,,
-1.10E-07,-0.00040201,,,,,,,
-1.09E-07,0,,,,,,,
-1.07E-07,0,,,,,,,
-1.06E-07,0,,,,,,,
-1.05E-07,0,,,,,,,
-1.04E-07,0,,,,,,,
-1.03E-07,0.00040201,,,,,,,
-1.01E-07,0.00040201,,,,,,,
-1.00E-07,0,,,,,,,
-9.88E-08,0,,,,,,,
-9.75E-08,0,,,,,,,
-9.62E-08,-0.00040201,,,,,,,
-9.50E-08,-0.00040201,,,,,,,
-9.38E-08,-0.00040201,,,,,,,
-9.25E-08,0,,,,,,,
-9.13E-08,-0.00040201,,,,,,,
-9.00E-08,0,,,,,,,
-8.88E-08,0.00040201,,,,,,,
-8.75E-08,-0.00040201,,,,,,,
-8.63E-08,-0.00040201,,,,,,,
-8.50E-08,0,,,,,,,
-8.37E-08,-0.00040201,,,,,,,
-8.25E-08,-0.00040201,,,,,,,
-8.12E-08,0.00040201,,,,,,,
-8.00E-08,0,,,,,,,
-7.87E-08,-0.00080402,,,,,,,
-7.75E-08,0,,,,,,,
-7.62E-08,0,,,,,,,
-7.50E-08,-0.00040201,,,,,,,
-7.38E-08,-0.00040201,,,,,,,
-7.25E-08,0,,,,,,,
-7.12E-08,0,,,,,,,
-7.00E-08,-0.00040201,,,,,,,
-6.87E-08,0.00040201,,,,,,,
-6.75E-08,0,,,,,,,
-6.63E-08,-0.00040201,,,,,,,
-6.50E-08,-0.00040201,,,,,,,
-6.38E-08,0,,,,,,,
-6.25E-08,-0.00040201,,,,,,,
-6.13E-08,-0.00040201,,,,,,,
-6.00E-08,0,,,,,,,
-5.87E-08,0,,,,,,,
-5.75E-08,0,,,,,,,
-5.62E-08,0,,,,,,,
-5.50E-08,0,,,,,,,
-5.37E-08,-0.00040201,,,,,,,
-5.25E-08,0,,,,,,,
-5.13E-08,-0.00040201,,,,,,,
-5.00E-08,0,,,,,,,
-4.87E-08,-0.00040201,,,,,,,
-4.75E-08,0,,,,,,,
-4.62E-08,0,,,,,,,
-4.50E-08,-0.00040201,,,,,,,
-4.37E-08,-0.00040201,,,,,,,
-4.25E-08,0,,,,,,,
-4.12E-08,0,,,,,,,
-4.00E-08,0,,,,,,,
-3.87E-08,0,,,,,,,
-3.75E-08,-0.00040201,,,,,,,
-3.63E-08,-0.00040201,,,,,,,
-3.50E-08,-0.00040201,,,,,,,
-3.37E-08,-0.00040201,,,,,,,
-3.25E-08,-0.00080402,,,,,,,
-3.12E-08,-0.00040201,,,,,,,
-3.00E-08,0,,,,,,,
-2.87E-08,0,,,,,,,
-2.75E-08,-0.00040201,,,,,,,
-2.62E-08,-0.00040201,,,,,,,
-2.50E-08,0,,,,,,,
-2.37E-08,-0.00040201,,,,,,,
-2.25E-08,0,,,,,,,
-2.12E-08,0,,,,,,,
-2.00E-08,0,,,,,,,
-1.87E-08,0,,,,,,,
-1.75E-08,0.00040201,,,,,,,
-1.62E-08,0.00040201,,,,,,,
-1.50E-08,-0.00040201,,,,,,,
-1.37E-08,-0.00080402,,,,,,,
-1.25E-08,0,,,,,,,
-1.12E-08,-0.00040201,,,,,,,
-1.00E-08,0,,,,,,,
-8.75E-09,0,,,,,,,
-7.50E-09,0,,,,,,,
-6.25E-09,0,,,,,,,
-5.00E-09,0,,,,,,,
-3.75E-09,-0.00040201,,,,,,,
