time (s),voltage (V)
0,0
1.00E-09,0
2.00E-09,0
3.00E-09,-0.00080402
4.00E-09,0
5.00E-09,0.00080402
6.00E-09,0
7.00E-09,-0.00080402
8.00E-09,0
9.00E-09,-0.00080402
1.00E-08,0
1.10E-08,0
1.20E-08,0
1.30E-08,0
1.40E-08,0.00080402
1.50E-08,0.00241206
1.60E-08,0.004824121
1.70E-08,0.005628141
1.80E-08,0.007236181
1.90E-08,0.008040201
2.00E-08,0.008040201
2.10E-08,0.008844221
2.20E-08,0.009648241
2.30E-08,0.009648241
2.40E-08,0.009648241
2.50E-08,0.010452261
2.60E-08,0.010452261
2.70E-08,0.010452261
2.80E-08,0.010452261
2.90E-08,0.011256281
3.00E-08,0.011256281
3.10E-08,0.011256281
3.20E-08,0.012060301
3.30E-08,0.012060301
3.40E-08,0.012060301
3.50E-08,0.012864321
3.60E-08,0.012864321
3.70E-08,0.012864321
3.80E-08,0.013668342
3.90E-08,0.014472362
4.00E-08,0.015276382
4.10E-08,0.015276382
4.20E-08,0.016080402
4.30E-08,0.016080402
4.40E-08,0.016884422
4.50E-08,0.016884422
4.60E-08,0.017688442
4.70E-08,0.018492462
4.80E-08,0.019296482
4.90E-08,0.019296482
5.00E-08,0.019296482
5.10E-08,0.020100502
5.20E-08,0.020100502
5.30E-08,0.020904522
5.40E-08,0.021708542
5.50E-08,0.021708542
5.60E-08,0.022512563
5.70E-08,0.023316583
5.80E-08,0.024120603
5.90E-08,0.024120603
6.00E-08,0.024924623
6.10E-08,0.025728643
6.20E-08,0.025728643
6.30E-08,0.026532663
6.40E-08,0.028140703
6.50E-08,0.028944723
6.60E-08,0.029748743
6.70E-08,0.031356784
6.80E-08,0.031356784
6.90E-08,0.032160804
7.00E-08,0.032964824
7.10E-08,0.033768844
7.20E-08,0.034572864
7.30E-08,0.034572864
7.40E-08,0.036180904
7.50E-08,0.036984924
7.60E-08,0.037788944
7.70E-08,0.039396985
7.80E-08,0.040201005
7.90E-08,0.041005025
8.00E-08,0.041809045
8.10E-08,0.041809045
8.20E-08,0.043417085
8.30E-08,0.044221105
8.40E-08,0.045025125
8.50E-08,0.046633165
8.60E-08,0.047437185
8.70E-08,0.048241206
8.80E-08,0.049045226
8.90E-08,0.049849246
9.00E-08,0.050653266
9.10E-08,0.050653266
9.20E-08,0.051457286
9.30E-08,0.051457286
9.40E-08,0.052261306
9.50E-08,0.053065326
9.60E-08,0.053869346
9.70E-08,0.054673366
9.80E-08,0.054673366
9.90E-08,0.054673366
1.00E-07,0.055477386
1.01E-07,0.055477386
1.02E-07,0.055477386
1.03E-07,0.055477386
1.04E-07,0.055477386
1.05E-07,0.054673366
1.06E-07,0.054673366
1.07E-07,0.054673366
1.08E-07,0.054673366
1.09E-07,0.053065326
1.10E-07,0.052261306
1.11E-07,0.051457286
1.12E-07,0.050653266
1.13E-07,0.049849246
1.14E-07,0.049045226
1.15E-07,0.049045226
1.16E-07,0.048241206
1.17E-07,0.047437185
1.18E-07,0.046633165
1.19E-07,0.045829145
1.20E-07,0.045025125
1.21E-07,0.043417085
1.22E-07,0.042613065
1.23E-07,0.041005025
1.24E-07,0.040201005
1.25E-07,0.039396985
1.26E-07,0.038592964
1.27E-07,0.036984924
1.28E-07,0.036180904
1.29E-07,0.034572864
1.30E-07,0.032964824
1.31E-07,0.031356784
1.32E-07,0.030552763
1.33E-07,0.028944723
1.34E-07,0.028140703
1.35E-07,0.027336683
1.36E-07,0.026532663
1.37E-07,0.024924623
1.38E-07,0.024120603
1.39E-07,0.021708542
1.40E-07,0.017688442
1.41E-07,0.012864321
1.42E-07,0.009648241
1.43E-07,0.006432161
1.44E-07,0.0040201
1.45E-07,0.00241206
1.46E-07,0.00080402
1.47E-07,0
1.48E-07,-0.00241206
1.49E-07,-0.00321608
1.50E-07,-0.0040201
1.51E-07,-0.004824121
1.52E-07,-0.006432161
1.53E-07,-0.007236181
1.54E-07,-0.007236181
1.55E-07,-0.007236181
1.56E-07,-0.007236181
1.57E-07,-0.008040201
1.58E-07,-0.008844221
1.59E-07,-0.008844221
1.60E-07,-0.008844221
1.61E-07,-0.009648241
1.62E-07,-0.009648241
1.63E-07,-0.009648241
1.64E-07,-0.010452261
1.65E-07,-0.010452261
1.66E-07,-0.010452261
1.67E-07,-0.009648241
1.68E-07,-0.009648241
1.69E-07,-0.010452261
1.70E-07,-0.011256281
1.71E-07,-0.011256281
1.72E-07,-0.011256281
1.73E-07,-0.011256281
1.74E-07,-0.012060301
1.75E-07,-0.011256281
1.76E-07,-0.012060301
1.77E-07,-0.011256281
1.78E-07,-0.011256281
1.79E-07,-0.011256281
1.80E-07,-0.011256281
1.81E-07,-0.012060301
1.82E-07,-0.012060301
1.83E-07,-0.011256281
1.84E-07,-0.011256281
1.85E-07,-0.012060301
1.86E-07,-0.012060301
1.87E-07,-0.012060301
1.88E-07,-0.011256281
1.89E-07,-0.011256281
1.90E-07,-0.011256281
1.91E-07,-0.011256281
1.92E-07,-0.012060301
1.93E-07,-0.012060301
1.94E-07,-0.012060301
1.95E-07,-0.012060301
1.96E-07,-0.011256281
1.97E-07,-0.011256281
1.98E-07,-0.011256281
1.99E-07,-0.011256281
2.00E-07,-0.012060301
2.01E-07,-0.012864321
2.02E-07,-0.012060301
2.03E-07,-0.012060301
2.04E-07,-0.012060301
2.05E-07,-0.012060301
2.06E-07,-0.012864321
2.07E-07,-0.012060301
2.08E-07,-0.012060301
2.09E-07,-0.012864321
2.10E-07,-0.012864321
2.11E-07,-0.012864321
2.12E-07,-0.013668342
2.13E-07,-0.013668342
2.14E-07,-0.012864321
2.15E-07,-0.012864321
2.16E-07,-0.012864321
2.17E-07,-0.013668342
2.18E-07,-0.013668342
2.19E-07,-0.012864321
2.20E-07,-0.012864321
2.21E-07,-0.012864321
2.22E-07,-0.013668342
2.23E-07,-0.013668342
2.24E-07,-0.013668342
2.25E-07,-0.013668342
2.26E-07,-0.013668342
2.27E-07,-0.013668342
2.28E-07,-0.013668342
2.29E-07,-0.014472362
2.30E-07,-0.014472362
2.31E-07,-0.014472362
2.32E-07,-0.014472362
2.33E-07,-0.014472362
2.34E-07,-0.014472362
2.35E-07,-0.014472362
2.36E-07,-0.014472362
2.37E-07,-0.014472362
2.38E-07,-0.015276382
2.39E-07,-0.014472362
2.40E-07,-0.014472362
2.41E-07,-0.015276382
2.42E-07,-0.016080402
2.43E-07,-0.016080402
2.44E-07,-0.015276382
2.45E-07,-0.015276382
2.46E-07,-0.015276382
2.47E-07,-0.016080402
2.48E-07,-0.016080402
2.49E-07,-0.016080402
2.50E-07,-0.016080402
2.51E-07,-0.016080402
2.52E-07,-0.016080402
