dmm,calibrator,arduino,lockin,field,angle_step,total_angle,amplitude,frequency,measure_time,sensitivity,save_dir,voltage_callibration,__class__,type,timestamp,processed
Custom Keithley193a Object at GPIB0::10::INSTR,<piec.drivers.edc522.core.EDC522 object at 0x0000015834986510>,Custom Arduino_Stepper Object at ASRL3::INSTR,"Stanford_Research_Systems,SR830,s/n54854,ver1.07 
",800,10,90,1.0,17.13,5,50uv/pa,C:\Users\geofr\Desktop\Research\Github\piec\src\piec\notebooks,10000,<class 'piec.measurement_waveforms.magneto_transport.AMR'>,amr,1745001091.3819773,False

angle,field,X,Y
0,800,1.71364e-06,1.22935e-07
10,800,-6.03501e-07,1.54228e-06
20,800,-1.21073e-06,1.2219e-06
30,800,1.60188e-06,3.27827e-07
40,800,-1.89991e-07,-1.61306e-06
50,800,1.09897e-06,-1.18837e-06
60,800,8.23293e-07,1.42679e-06
70,800,-7.68793e-05,-9.18662e-06
80,800,4.09784e-08,7.74232e-05
90,800,7.72369e-05,-5.36072e-06
0,800,7.60634e-05,-1.44281e-05
10,800,-0.000546101,0.000546072
20,800,-0.0193025,0.0121422
30,800,-0.0186845,0.0119172
40,800,-0.0188829,0.0128594
50,800,-0.0164148,0.0114213
60,800,0.0,0.0
70,800,0.0,0.0
