dmm,calibrator,arduino,lockin,field,angle_step,total_angle,amplitude,frequency,measure_time,sensitivity,save_dir,voltage_callibration,__class__,type,timestamp,processed
Custom Keithley193a Object at GPIB0::10::INSTR,<piec.drivers.edc522.core.EDC522 object at 0x000001BA5D4EEE40>,Custom Arduino_Stepper Object at ASRL3::INSTR,"Stanford_Research_Systems,SR830,s/n54854,ver1.07 
",800,10,360,5,17.13,10,50uv/pa,C:\Users\geofr\Desktop\Research\Github\piec\src\piec\notebooks,10000,<class 'piec.measurement_waveforms.magneto_transport.AMR'>,amr,1745268304.5240188,False

angle,field,X,Y
0,800,-0.00148845,-0.000529889
10,800,-0.00149298,-0.000537399
20,800,-0.00149036,-0.000533108
30,800,-0.00149656,-0.000533704
40,800,-0.00148714,-0.000536088
50,800,-0.00150121,-0.000536326
60,800,-0.00150359,-0.000534896
70,800,-0.00150276,-0.000535492
80,800,-0.00150312,-0.000544552
90,800,-0.00150038,-0.00053573
100,800,-0.00150407,-0.000538591
110,800,-0.00149883,-0.000540856
120,800,-0.00150252,-0.000540141
130,800,-0.00150085,-0.000533346
140,800,-0.00149704,-0.000533942
150,800,-0.00149132,-0.000531916
160,800,-0.00148953,-0.00053728
170,800,-0.00149215,-0.000538711
180,800,-0.0014881,-0.000537876
190,800,-0.00148559,-0.000536684
200,800,-0.00149239,-0.000536684
210,800,-0.00149203,-0.000530366
220,800,-0.00148834,-0.000535253
230,800,-0.00148667,-0.000535253
240,800,-0.00149668,-0.000533227
250,800,-0.00149036,-0.000533823
260,800,-0.00149978,-0.000539903
270,800,-0.00150002,-0.00053883
280,800,-0.00149525,-0.000539307
290,800,-0.00150109,-0.000535611
300,800,-0.00149906,-0.000537399
310,800,-0.0015024,-0.000534061
320,800,-0.0015024,-0.000536446
330,800,-0.00150121,-0.000539068
340,800,-0.0014962,-0.000538353
350,800,-0.00149,-0.000533108
360,800,-0.00149072,-0.000529651
