dmm,calibrator,arduino,lockin,field,angle_step,total_angle,amplitude,frequency,measure_time,sensitivity,save_dir,voltage_callibration,__class__,type,timestamp,processed
Custom Keithley193a Object at GPIB1::10::INSTR,<piec.drivers.edc522.core.EDC522 object at 0x0000029D6B1BFE00>,Custom Arduino_Stepper Object at ASRL3::INSTR,"Stanford_Research_Systems,SR830,s/n54854,ver1.07 
",800,5,360,5,17.13,100,50uv/pa,C:\Users\geofr\Desktop\Research\Github\piec\src\piec\notebooks,10000,<class 'piec.measurement_waveforms.magneto_transport.AMR'>,amr,1745345867.3512259,False

angle,field,X,Y
0,800,-0.00149346,-0.000531081
5,800,-0.00149334,-0.000531439
10,800,-0.0014906,-0.000536326
15,800,-0.00149155,-0.000537161
20,800,-0.00149632,-0.000535253
25,800,-0.00149668,-0.000532988
30,800,-0.00149525,-0.000534777
35,800,-0.00149835,-0.000529174
40,800,-0.00149573,-0.000540141
45,800,-0.00149728,-0.000534896
50,800,-0.00149954,-0.000536088
55,800,-0.00149585,-0.000532154
60,800,-0.00150431,-0.000534777
65,800,-0.00150348,-0.000538114
70,800,-0.00150193,-0.000536684
75,800,-0.00150336,-0.000537757
80,800,-0.00149883,-0.000535611
85,800,-0.00150085,-0.000532273
90,800,-0.0015092,-0.000538711
95,800,-0.00150765,-0.000539783
100,800,-0.00150681,-0.000534181
105,800,-0.0015092,-0.000535849
110,800,-0.0014993,-0.000538949
115,800,-0.00150181,-0.000538114
120,800,-0.00150872,-0.000536088
125,800,-0.00149763,-0.000536803
130,800,-0.00150479,-0.000536922
135,800,-0.00150705,-0.000532512
140,800,-0.00150586,-0.000538949
145,800,-0.0015024,-0.000540618
150,800,-0.00150729,-0.000538711
155,800,-0.00150765,-0.000539187
160,800,-0.00150169,-0.000541572
165,800,-0.00150741,-0.000538711
170,800,-0.0015086,-0.000538353
175,800,-0.00150526,-0.000539068
180,800,-0.00149847,-0.000539545
185,800,-0.00150491,-0.000535373
190,800,-0.00150049,-0.00053728
195,800,-0.00149942,-0.000538472
200,800,-0.00150336,-0.000530843
205,800,-0.00149608,-0.000541214
210,800,-0.00149787,-0.000532154
215,800,-0.00150097,-0.000538949
220,800,-0.00149596,-0.000534419
225,800,-0.00149954,-0.000534538
230,800,-0.00150073,-0.00053132
235,800,-0.00150049,-0.000535373
240,800,-0.00149501,-0.000533108
245,800,-0.00149823,-0.000535015
250,800,-0.00149501,-0.000534181
255,800,-0.00149132,-0.000530247
260,800,-0.00149978,-0.000533465
265,800,-0.00149561,-0.000537757
270,800,-0.0014974,-0.000529412
275,800,-0.00149751,-0.000531677
280,800,-0.00149883,-0.000531916
285,800,-0.00150181,-0.000533704
290,800,-0.00150085,-0.000539068
295,800,-0.00149811,-0.000534896
300,800,-0.00150157,-0.00053728
305,800,-0.00150276,-0.000537399
310,800,-0.00150562,-0.000535373
315,800,-0.0015024,-0.000540379
320,800,-0.00150419,-0.000540975
325,800,-0.00150693,-0.000532988
330,800,-0.00150359,-0.000536446
335,800,-0.00150598,-0.000541214
340,800,-0.00150002,-0.000538114
345,800,-0.00150085,-0.000537518
350,800,-0.0015055,-0.000538234
355,800,-0.00151099,-0.000537876
360,800,-0.00150872,-0.000532869
