dmm,calibrator,arduino,lockin,field,angle_step,total_angle,amplitude,frequency,measure_time,sensitivity,save_dir,voltage_callibration,__class__,type,timestamp,processed
Custom Keithley193a Object at GPIB1::10::INSTR,<piec.drivers.edc522.core.EDC522 object at 0x0000024791CFEE40>,Custom Arduino_Stepper Object at ASRL3::INSTR,"Stanford_Research_Systems,SR830,s/n54854,ver1.07 
",800,10,360,5,17.13,10,50uv/pa,C:\Users\geofr\Desktop\Research\Github\piec\src\piec\notebooks,10000,<class 'piec.measurement_waveforms.magneto_transport.AMR'>,amr,1745431561.0424526,False

angle,field,X,Y
0,800,-0.00171018,-1.09673e-05
10,800,-0.00171078,-1.09673e-05
20,800,-0.00171173,-1.06097e-05
30,800,-0.0017134,-1.09673e-05
40,800,-0.00171531,-1.07289e-05
50,800,-0.00171734,-1.10865e-05
60,800,-0.00171936,-1.08481e-05
70,800,-0.00172091,-1.08481e-05
80,800,-0.00172258,-1.08481e-05
90,800,-0.00172306,-1.08481e-05
100,800,-0.00172294,-1.06097e-05
110,800,-0.00172246,-1.08481e-05
120,800,-0.00172151,-1.10865e-05
130,800,-0.00171984,-1.10865e-05
140,800,-0.00171781,-1.09673e-05
150,800,-0.00171591,-1.08481e-05
160,800,-0.00171412,-1.08481e-05
170,800,-0.00171209,-1.10865e-05
180,800,-0.0017109,-1.08481e-05
190,800,-0.00171006,-1.08481e-05
200,800,-0.00170983,-1.08481e-05
210,800,-0.00171018,-1.08481e-05
220,800,-0.0017115,-1.08481e-05
230,800,-0.00171316,-1.09673e-05
240,800,-0.00171495,-1.08481e-05
250,800,-0.0017171,-1.09673e-05
260,800,-0.00171901,-1.08481e-05
270,800,-0.00172079,-1.08481e-05
280,800,-0.00172222,-1.06097e-05
290,800,-0.00172246,-1.09673e-05
300,800,-0.00172318,-1.06097e-05
310,800,-0.00172258,-1.08481e-05
320,800,-0.00172175,-1.04905e-05
330,800,-0.0017196,-1.08481e-05
340,800,-0.00171829,-1.06097e-05
350,800,-0.00171579,-1.03713e-05
360,800,-0.00171257,-1.08481e-05
