dmm,calibrator,arduino,lockin,field,angle_step,total_angle,amplitude,frequency,measure_time,sensitivity,save_dir,voltage_callibration,__class__,type,timestamp,processed
Custom Keithley193a Object at GPIB1::10::INSTR,<piec.drivers.edc522.core.EDC522 object at 0x000001FC016F6CF0>,Custom Arduino_Stepper Object at ASRL3::INSTR,"Stanford_Research_Systems,SR830,s/n54854,ver1.07 
",100,10,360,5,17.13,10,50uv/pa,C:\Users\geofr\Desktop\Research\Github\piec\src\piec\notebooks,10000,<class 'piec.measurement_waveforms.magneto_transport.AMR'>,amr,1745432985.9289994,False

angle,field,X,Y
0,100,-0.00171233,-1.06097e-05
10,100,-0.00171221,-1.09673e-05
20,100,-0.00171281,-1.06097e-05
30,100,-0.00171436,-1.08481e-05
40,100,-0.00171567,-1.08481e-05
50,100,-0.0017171,-1.09673e-05
60,100,-0.00171889,-1.08481e-05
70,100,-0.00172044,-1.09673e-05
80,100,-0.00172187,-1.09673e-05
90,100,-0.00172306,-1.09673e-05
100,100,-0.00172377,-1.09673e-05
110,100,-0.00172413,-1.09673e-05
120,100,-0.00172377,-1.08481e-05
130,100,-0.00172306,-1.09673e-05
140,100,-0.00172175,-1.08481e-05
150,100,-0.00171996,-1.08481e-05
160,100,-0.00171769,-1.09673e-05
170,100,-0.00171543,-1.08481e-05
180,100,-0.00171364,-1.08481e-05
190,100,-0.00171245,-1.08481e-05
200,100,-0.00171185,-1.09673e-05
210,100,-0.00171221,-1.09673e-05
220,100,-0.00171304,-1.08481e-05
230,100,-0.00171424,-1.08481e-05
240,100,-0.00171579,-1.08481e-05
250,100,-0.00171746,-1.08481e-05
260,100,-0.00171901,-1.09673e-05
